section,LATITUDE,LONGITUDE,upper50mDOPstock,MeanDOPUpper50,iron stress,PStar,Chl a,PStar_250,Pstar_insitu,nFLH,region,comment
P06,-32.5,-103.43,13.656,0.27312,0.020245267,0.169287499,0.10581,0.157735718,0.1371875,3.92E-03,Eastern South Pacific,
P06,-32.5,-98.886,14.029,0.28058,0.01909649,0.179937497,0.11,0.183558939,0.155,4.09E-03,Eastern South Pacific,
P06,-32.5,-93.544,10.705,0.2141,0.017383976,0.238074996,0.11613,0.220965196,0.289375,4.46E-03,Eastern South Pacific,
P06,-32.5,-88.205,10.205,0.2041,0.016625356,0.264443759,0.12936,0.19295982,0.18375,5.22E-03,Eastern South Pacific,
P06,-32.5,-82.866,10.798,0.21596,0.014516128,0.269612487,0.21266,0.217692856,0.27875,5.64E-03,Eastern South Pacific,
P06,-32.5,-77.525,4.8677,0.097354,0.013059921,0.318743758,0.30441,0.466980338,0.3,8.10E-03,Eastern South Pacific,
P06,-32.5,-75.746,6.7599,0.135198,0.013535706,0.32827501,0.31389,0.590366083,0.3184375,1.10E-02,Eastern South Pacific,
P18,22.002,-110,24.356,0.48712,0.009863401,0.400656251,0.15886,0.899187429,0.312145121,4.67E-03,Eastern North Pacific,
P18,20,-110,19.423,0.38846,0.009483314,0.31948749,0.1224,0.896790198,0.323199788,3.09E-03,Eastern North Pacific,
P18,18,-110,17.023,0.34046,0.010497456,0.271000003,0.091978,0.925190142,0.236885326,3.23E-03,Eastern North Pacific,
P18,16.001,-110,16.88,0.3376,0.012134897,0.252312496,0.1113,0.923424125,0.307016819,3.66E-03,Eastern North Pacific,
P18,14,-110,16.693,0.33386,0.012887387,0.234293754,0.12661,0.753178596,0.178396222,4.01E-03,Eastern North Pacific,
P18,12,-110,19.192,0.38384,0.01681213,0.21618125,0.12454,0.566628558,0.15019597,5.80E-03,Eastern North Pacific,
P18,10,-110,15.324,0.30648,0.017378597,0.204093751,0.12628,0.44753749,0.301412906,6.03E-03,Eastern North Pacific,
P18,7.9998,-110,12.192,0.24384,0.017142822,0.202162504,0.097559,0.400133099,0.11668343,5.26E-03,Eastern North Pacific,
P18,5.9999,-110,13.381,0.26762,0.01905497,0.221618742,0.10766,0.361689295,0.186099275,5.65E-03,Eastern North Pacific,
P18,4,-110,16.158,0.32316,0.022780998,0.295731261,0.17593,0.317314267,0.183197204,7.90E-03,Eastern North Pacific,
P18,-5.5901,-109.18,17.327,0.34654,0.020598476,0.193318725,0.12569,0.430045503,0.286762422,7.21E-03,Eastern South Pacific,
P18,-6.1799,-108.35,16.164,0.32328,0.021262814,0.188781261,0.12223,0.484622308,0.287658707,7.40E-03,Eastern South Pacific,
P18,-9.71,-103.41,12.33,0.2466,0.021329077,0.265400022,0.12634,0.634649115,0.253938594,7.17E-03,Eastern South Pacific,
P18,-13.5,-103,18.556,0.37112,0.019146944,0.313518763,0.11168,0.541874092,0.3571611,6.26E-03,Eastern South Pacific,
P18,-15.5,-103,14.372,0.28744,0.018580802,0.32613124,0.067304,0.443095532,0.335378397,5.90E-03,Eastern South Pacific,
